groupe;sexe;temps;pay_;stress;correct-1;correct-2;correct-3
control;femme;apres-2;oui;14;12;2;5
control;homme;apres-2;oui;10;15;2;7
control;homme;apres-1;non;11;4;7;4
experimental;femme;apres-2;oui;11;8;5;6
control;homme;apres-1;oui;13;5;6;2
experimental;femme;apres-1;non;14;5;1;1
experimental;femme;apres-2;oui;10;6;6;9
experimental;homme;apres-1;oui;14;11;4;6
experimental;homme;avant;oui;1;7;6;0
control;homme;avant;non;5;10;8;1
control;homme;apres-2;oui;8;12;7;6
experimental;homme;avant;oui;2;11;7;3
control;femme;apres-1;oui;12;10;9;3
control;homme;avant;non;5;11;7;5
control;homme;apres-1;non;13;5;5;5
control;femme;apres-2;non;7;8;7;4
experimental;homme;avant;non;2;12;4;6
experimental;homme;apres-2;oui;14;9;6;5
experimental;homme;apres-2;non;14;19;5;4
control;femme;avant;non;4;16;5;7
experimental;femme;apres-1;oui;13;7;6;0
control;femme;avant;non;7;14;4;8
control;homme;apres-2;non;5;4;5;4
control;femme;avant;oui;6;12;2;4
control;femme;apres-2;oui;15;7;1;6
experimental;homme;avant;non;2;3;3;7
experimental;femme;avant;non;13;6;5;5
control;femme;apres-1;non;13;16;1;1
control;femme;avant;oui;5;13;4;5
control;femme;apres-1;oui;11;9;8;2
experimental;femme;avant;non;15;8;2;2
control;homme;apres-2;non;5;8;8;5
experimental;homme;apres-1;oui;3;15;3;3
control;femme;apres-2;non;6;6;8;5
experimental;femme;apres-1;non;14;6;3;2
experimental;femme;apres-1;oui;15;6;6;8
experimental;homme;apres-1;non;13;8;2;7
experimental;homme;apres-2;non;14;11;6;7
experimental;femme;apres-2;non;11;5;4;7
experimental;femme;apres-2;non;14;7;6;8
control;homme;avant;oui;7;9;9;5
experimental;femme;avant;oui;14;8;4;4
control;homme;avant;oui;10;8;8;6
control;homme;apres-1;oui;11;6;8;1
experimental;homme;apres-2;oui;14;10;4;8
experimental;femme;apres-1;oui;17;7;5;7
control;femme;apres-1;non;13;14;8;2
experimental;homme;apres-1;non;3;15;1;7
